vehicle_id,t0_image,t1_image,t0_x1,t0_y1,t0_x2,t0_y2,t1_x1,t1_y1,t1_x2,t1_y2,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,iou,reid_similarity,final_score,note,is_matched
1,0001_top_20250618_t0.jpeg_detect.csv,0001_top_20250618_t1.jpeg_detect.csv,101,203,413,456,201,204,462,430,101,203,413,456,201,204,462,430,0.5322964115098322,0.5535318851470947,0.5322964115098322,hungarian,1
2,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,389,19,442,79,389,19,442,79,389,19,442,79,389,19,442,79,1.0,1.0000001192092896,1.0,hungarian,1
3,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,222,0,254,84,222,0,254,84,222,0,254,84,222,0,254,84,1.0,0.9999998807907104,1.0,hungarian,1
4,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,262,48,289,164,262,48,289,164,262,48,289,164,262,48,289,164,1.0,0.9999998807907104,1.0,hungarian,1
5,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,389,345,421,465,389,345,421,465,389,345,421,465,389,345,421,465,1.0,1.0,1.0,hungarian,1
6,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,302,190,331,313,302,190,331,313,302,190,331,313,302,190,331,313,1.0,1.0,1.0,hungarian,1
7,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,267,234,291,328,267,234,291,328,267,234,291,328,267,234,291,328,1.0,1.0,1.0,hungarian,1
8,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,216,281,243,391,216,281,243,391,216,281,243,391,216,281,243,391,1.0,1.0000001192092896,1.0,hungarian,1
9,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,348,346,380,461,348,346,380,461,348,346,380,461,348,346,380,461,1.0,1.0,1.0,hungarian,1
10,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,221,422,250,539,221,422,250,539,221,422,250,539,221,422,250,539,1.0,1.0,1.0,hungarian,1
11,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,342,204,369,329,342,204,369,329,342,204,369,329,342,204,369,329,1.0,0.9999999403953552,1.0,hungarian,1
12,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,227,116,251,212,227,116,251,212,227,116,251,212,227,116,251,212,1.0,1.0,1.0,hungarian,1
13,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,263,404,289,513,263,404,289,513,263,404,289,513,263,404,289,513,1.0,1.0000001192092896,1.0,hungarian,1
14,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,391,236,416,326,391,236,416,326,391,236,416,326,391,236,416,326,1.0,1.0,1.0,hungarian,1
15,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,443,218,471,342,443,218,471,342,443,218,471,342,443,218,471,342,1.0,0.9999999403953552,1.0,hungarian,1
16,0001_top_20250626_t0.jpg_detect.csv,0001_top_20250626_t1.jpg_detect.csv,369,0,437,18,369,0,437,18,369,0,437,18,369,0,437,18,1.0,0.9999999403953552,1.0,hungarian,1
17,0001_top_20250702_t0.jpg_detect.csv,0001_top_20250702_t1.jpg_detect.csv,145,311,356,461,152,328,336,453,145,311,356,461,152,328,336,453,0.7266982622432859,0.8523668050765991,0.7266982622432859,hungarian,1
18,0001_top_20250702_t0.jpg_detect.csv,0001_top_20250702_t1.jpg_detect.csv,147,86,355,233,159,137,331,261,147,86,355,233,159,137,331,261,0.4665461121157324,0.8380100727081299,0.4665461121157324,hungarian,1
19,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,717,1042,1321,1223,669,1028,1284,1212,232,182,273,319,121,416,164,561,0.7644297111678588,0.7207036018371582,0.7644297111678588,hungarian,1
20,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,797,1055,1299,1223,804,1056,1270,1214,305,194,349,324,199,420,243,559,0.873031682792639,0.8689122200012207,0.873031682792639,hungarian,1
21,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,1125,1184,1174,1208,1127,1185,1168,1203,540,151,623,214,435,341,513,402,0.6275510204081632,0.7549769282341003,0.6275510204081632,hungarian,1
22,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,706,1046,1359,1230,631,1026,1320,1219,189,186,224,320,73,430,115,567,0.7230560831001926,0.8324564695358276,0.7230560831001926,hungarian,1
23,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,959,1080,1210,1208,949,1073,1198,1204,457,197,500,335,356,401,399,542,0.8440659622340577,0.9230147004127502,0.8440659622340577,hungarian,1
24,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,918,1084,1273,1222,911,1080,1253,1215,375,205,416,339,270,423,313,560,0.8558751828376402,0.9001799821853638,0.8558751828376402,hungarian,1
25,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,982,1077,1191,1206,978,1072,1183,1202,493,199,537,333,393,399,436,536,0.882012216527417,0.8476841449737549,0.882012216527417,hungarian,1
26,0001_top_20250703_t0.JPG_detect.csv,0001_top_20250703_t1.JPG_detect.csv,926,1077,1234,1213,921,1073,1220,1208,417,198,458,334,314,409,356,549,0.8805413932645922,0.7731097340583801,0.8805413932645922,hungarian,1
27,,0001_top_20250703_t1.JPG_detect.csv,,,,,1133,1214,2759,8364,,,,,438,421,516,482,0.0,0.0,0.0,new,0
28,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,1637,1021,1985,2040,1632,1017,2032,2166,258,172,312,284,258,172,312,284,0.7715665796344647,1.0,0.7715665796344647,hungarian,1
29,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,1598,863,1829,1294,1589,851,1835,1306,214,187,262,293,214,187,262,293,0.8894934333958724,1.0,0.8894934333958724,hungarian,1
30,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,1569,915,2146,1602,1559,904,2161,1622,174,209,232,314,174,209,232,314,0.9170892753033065,1.0000001192092896,0.9170892753033065,hungarian,1
31,0001_top_20250711_t0.jpg_detect.csv,0001_top_20250711_t1.jpg_detect.csv,-507,-2161,1817,1234,-579,-2261,1820,1241,175,206,223,301,175,206,223,301,0.9391382141188183,1.0000001192092896,0.9391382141188183,hungarian,1
32,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,2101,724,2128,792,2094,726,2132,793,373,472,463,525,116,141,201,193,0.6853846153846154,0.5722429156303406,0.6853846153846154,hungarian,1
33,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,1862,940,1919,1035,1868,937,1913,1039,140,117,220,178,339,513,417,562,0.7460732984293194,0.610986053943634,0.7460732984293194,hungarian,1
34,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,1993,741,2030,794,1997,735,2034,793,372,271,440,331,120,315,194,384,0.7176913425345044,0.641682505607605,0.7176913425345044,hungarian,1
35,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,2145,727,2174,786,2142,726,2184,788,380,561,459,615,120,49,198,101,0.6570660522273426,0.3239688575267792,0.6570660522273426,hungarian,1
36,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,2053,744,2082,788,2054,733,2085,787,379,381,436,434,122,222,191,272,0.6895761741122566,0.5144404768943787,0.6895761741122566,hungarian,1
37,0002_top_20250626_t0.jpg_detect.csv,0002_top_20250626_t1.jpg_detect.csv,1912,766,1952,800,1917,739,1952,794,366,128,407,188,119,476,191,534,0.42516268980477223,0.7294043898582458,0.42516268980477223,hungarian,1
38,,0002_top_20250630_t1.jpg_detect.csv,,,,,235,51,257,155,,,,,235,51,257,155,0.0,0.0,0.0,new,0
39,,0002_top_20250630_t1.jpg_detect.csv,,,,,218,335,250,405,,,,,218,335,250,405,0.0,0.0,0.0,new,0
40,0002_top_20250704_t0.JPG_detect.csv,0002_top_20250704_t1.JPG_detect.csv,49,939,85,1011,54,928,92,998,63,293,98,427,216,298,251,434,0.5343266140812153,0.7544397115707397,0.5343266140812153,hungarian,1
41,,0002_top_20250704_t1.JPG_detect.csv,,,,,-214,913,-151,1001,,,,,0,264,29,414,0.0,0.0,0.0,new,0
42,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1284,520,1303,532,1284,524,1304,536,318,242,352,298,399,277,432,330,0.4810126582278481,0.872462809085846,0.4810126582278481,hungarian,1
43,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1269,468,1293,482,1267,467,1295,482,456,479,491,539,539,506,575,566,0.8,0.8103963732719421,0.8,hungarian,1
44,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1239,474,1284,491,1237,474,1285,492,397,456,436,518,480,484,520,544,0.8854166666666666,0.7929676175117493,0.8854166666666666,hungarian,1
45,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1279,481,1299,493,1280,482,1300,494,437,418,471,478,522,448,556,505,0.7712177121771218,0.9022831916809082,0.7712177121771218,hungarian,1
46,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1249,528,1290,548,1249,532,1290,552,284,274,319,336,366,308,401,365,0.6666666666666666,0.8286260962486267,0.6666666666666666,hungarian,1
47,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1206,537,1278,574,1205,542,1277,577,262,293,300,351,345,326,380,382,0.7802197802197802,0.5381409525871277,0.7802197802197802,hungarian,1
48,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1277,469,1298,482,1277,468,1299,482,475,476,512,539,561,502,596,565,0.8863636363636364,0.8587422370910645,0.8863636363636364,hungarian,1
49,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1264,478,1293,492,1265,478,1294,493,418,438,459,498,502,467,542,523,0.8730512249443207,0.7011178731918335,0.8730512249443207,hungarian,1
50,0002_top_20250705_t0.png_detect.csv,0002_top_20250705_t1.png_detect.csv,1435,347,1693,464,1458,357,1678,462,175,435,217,498,264,467,294,527,0.7652554164182072,0.7435351610183716,0.7652554164182072,hungarian,1
