t1_img_base,dji_base,score,note
0021_top_20250619_t0,DJI_0581,590,OK
0012_top_20250630_t0,DJI_0582,574,OK
0018_top_20250702_t0,DJI_0580,570,OK
0012_top_20250630_t1,DJI_0585,566,OK
0013_top_20250711_t0,DJI_0581,563,OK
0013_top_20250711_t1,DJI_0581,563,OK
0017_top_20250623_t1,DJI_0585,559,OK
0011_top_20250711_t0,DJI_0576,558,OK
0011_top_20250711_t1,DJI_0576,558,OK
0013_top_20250703_t1,DJI_0570,558,OK
0019_top_20250707_t0,DJI_0587,557,OK
0021_top_20250619_t1,DJI_0585,554,OK
0012_top_20250703_t1,DJI_0570,549,OK
0018_top_20250704_t0,DJI_0587,548,OK
0021_top_20250626_t1,DJI_0576,548,OK
0022_top_20250619_t1,DJI_0581,548,OK
0017_top_20250623_t0,DJI_0581,547,OK
0013_top_20250703_t0,DJI_0576,546,OK
0019_top_20250711_t0,DJI_0574,546,OK
0019_top_20250711_t1,DJI_0574,546,OK
0014_top_20250708_t1,DJI_0581,545,OK
0017_top_20250702_t1,DJI_0581,545,OK
0019_top_20250707_t1,DJI_0587,545,OK
0020_top_20250711_t0,DJI_0581,543,OK
0020_top_20250711_t1,DJI_0581,543,OK
0021_top_20250626_t0,DJI_0585,540,OK
0013_top_20250704_t1,DJI_0581,538,OK
0022_top_20250630_t1,DJI_0580,537,OK
0022_top_20250619_t0,DJI_0580,536,OK
0013_a_top_20250702_t1,DJI_0585,535,OK
0022_top_20250626_t0,DJI_0581,533,OK
0023_top_20250626_t0,DJI_0585,533,OK
0014_top_20250704_t0,DJI_0570,532,OK
0012_top_20250703_t0,DJI_0587,527,OK
0015_top_20250626_t0,DJI_0580,527,OK
0017_top_20250703_t1,DJI_0574,526,OK
0020_top_20250703_t0,DJI_0585,526,OK
0013_top_20250704_t0,DJI_0582,525,OK
0017_top_20250708_t1,DJI_0587,525,OK
0020_top_20250703_t1,DJI_0581,523,OK
0014_top_20250708_t0,DJI_0571,520,OK
0015_top_20250624_t0,DJI_0587,520,OK
0022_top_20250630_t0,DJI_0585,520,OK
0023_top_20250626_t1,DJI_0585,519,OK
0018_top_20250704_t1,DJI_0587,518,OK
0017_top_20250703_t0,DJI_0581,516,OK
0017_top_20250711_t0,DJI_0579,516,OK
0017_top_20250711_t1,DJI_0579,516,OK
0016_top_20250626_t1,DJI_0570,515,OK
0022_top_20250626_t1,DJI_0584,514,OK
0019_top_20250703_t1,DJI_0570,512,OK
0012_top_20250704_t1,DJI_0582,511,OK
0013_top_20250702_t0,DJI_0570,511,OK
0017_top_20250708_t0,DJI_0585,511,OK
0019_top_20250703_t0,DJI_0585,510,OK
0017_top_20250702_t0,DJI_0588,509,OK
0015_top_20250624_t1,DJI_0570,505,OK
0015_top_20250626_t1,DJI_0585,505,OK
0018_top_20250702_t1,DJI_0580,501,OK
0012_top_20250704_t0,DJI_0583,499,OK
0011_top_20250704_t1,DJI_0582,497,OK
0014_top_20250704_t1,DJI_0576,497,OK
0016_top_20250626_t0,DJI_0585,488,OK
0011_top_20250708_t1,DJI_0570,475,OK
0011_top_20250708_t0,DJI_0576,470,OK
0022_top_20250702_t0,DJI_0587,462,OK
0022_top_20250702_t1,DJI_0587,462,OK
0014_top_20250707_t0,DJI_0585,448,OK
0014_top_20250707_t1,DJI_0583,431,OK
