vehicle_id,zone_id,t0_image,t1_image,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t0_orig_w,t0_orig_h,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,t1_orig_w,t1_orig_h,move_dist,diag0,diag1,diag_ratio,delta_min,move_ratio,stop
1,a,0001_top_20250618_t0,0001_top_20250618_t1,101.0,203.0,413.0,456.0,312.0,253.0,201,204,462,430,261,226,75.541,401.688,345.249,0.859,7,0.188,Yes
2,b,0001_top_20250626_t0,0001_top_20250626_t1,389.0,19.0,442.0,79.0,53.0,60.0,389,19,442,79,53,60,0.0,80.056,80.056,1.0,8,0.0,Yes
3,b,0001_top_20250626_t0,0001_top_20250626_t1,222.0,0.0,254.0,84.0,32.0,84.0,222,0,254,84,32,84,0.0,89.889,89.889,1.0,8,0.0,Yes
4,b,0001_top_20250626_t0,0001_top_20250626_t1,262.0,48.0,289.0,164.0,27.0,116.0,262,48,289,164,27,116,0.0,119.101,119.101,1.0,8,0.0,Yes
5,b,0001_top_20250626_t0,0001_top_20250626_t1,389.0,345.0,421.0,465.0,32.0,120.0,389,345,421,465,32,120,0.0,124.193,124.193,1.0,8,0.0,Yes
6,b,0001_top_20250626_t0,0001_top_20250626_t1,302.0,190.0,331.0,313.0,29.0,123.0,302,190,331,313,29,123,0.0,126.372,126.372,1.0,8,0.0,Yes
7,b,0001_top_20250626_t0,0001_top_20250626_t1,267.0,234.0,291.0,328.0,24.0,94.0,267,234,291,328,24,94,0.0,97.015,97.015,1.0,8,0.0,Yes
8,b,0001_top_20250626_t0,0001_top_20250626_t1,216.0,281.0,243.0,391.0,27.0,110.0,216,281,243,391,27,110,0.0,113.265,113.265,1.0,8,0.0,Yes
9,b,0001_top_20250626_t0,0001_top_20250626_t1,348.0,346.0,380.0,461.0,32.0,115.0,348,346,380,461,32,115,0.0,119.369,119.369,1.0,8,0.0,Yes
10,b,0001_top_20250626_t0,0001_top_20250626_t1,221.0,422.0,250.0,539.0,29.0,117.0,221,422,250,539,29,117,0.0,120.54,120.54,1.0,8,0.0,Yes
